AGENCYNAME,city,STATE,opbudget2019,opbudget_2021_2022,source
edgewater police department,edgewater,CO,2373915,,
edina police department,edina,MO,3171950,,
edinburg police department,edinburg,TX,22488596,"24,958,764",https://cms7files.revize.com/edinburgtx/articles%20and%20events/2021-2022%20Final%20Fiscal%20Budget.pdf
edison police,edison,NJ,31783301,30596000,https://policescorecard.org/
edmond police department,edmond,OK,26304104,29678000,https://policescorecard.org/
edmunds county sheriff's office,ipswich,SD,550000,,
edna police department,edna,TX,522882,"1,155,016",https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4280/cityofedna/3527661/City_Budget_FY_2022-2023.pdf
edon police department,edon,OH,169000,,
edwardsville police department,edwardsville,IL,6800000,6224000,https://policescorecard.org/
edwardsville police department,edwardsville,KS,2133000,2364000,https://policescorecard.org/
effingham police department,effingham,IL,3272570,"3,985,503",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
el cajon police department,el cajon,CA,37301719,93427482,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
el campo police department,el campo,TX,3436570,5880000,https://policescorecard.org/
el dorado county sheriff's office,placerville,CA,95153888,37338919,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
el dorado police department,el dorado,AR,4929962,,
el mirage police department,el mirage,AZ,8719013,8609000,https://policescorecard.org/
el monte police department,el monte,CA,31701296,34154831,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
el paso county sheriff's office,colorado springs,CO,79539332,95797000,https://policescorecard.org/
el paso county sheriff's office,el paso,TX,1.02e+08,53227000,https://policescorecard.org/
el paso police department,el paso,TX,148322299,177000000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
elberfeld police department,elberfeld,IN,3000,,
elberton police department,elberton,GA,1600000,1589000,https://georgiadata.org/
eldridge police department,eldridge,IA,950000,1241000,https://policescorecard.org/
elgin police department,elgin,IL,46534881,50200000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
elizabeth borough police department,elizabeth borough,PA,315736,307224,https://dced.pa.gov/local-government/municipal-statistics/
elizabeth city police department,elizabeth,NC,6100000,"7,883,429",https://npr.brightspotcdn.com/8e/f0/595051f446099972b9263cd7aa87/elizabeth-city-fy2021-audit.pdf
elizabeth police,elizabeth,NJ,46625992,46892000,https://policescorecard.org/
elizabeth police department,elizabeth,IL,101000,"91,702",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
elizabethtown police department,elizabethtown,KY,7200000,4622000,https://policescorecard.org/
elk city police department,elk,OK,2300000,,
elk grove police department,elk grove,CA,40333488,48279342,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
elk point police department,elk point,SD,5914767,265000,https://policescorecard.org/
elkhart police department,elkhart,IN,20758358,17448000,https://policescorecard.org/
ellenville village police department,ellenville,NY,1148307,"1,306,159",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
ellsworth police department,ellsworth,IA,175000,,
ellsworth police department,ellsworth,WI,711273,,
elm grove police department,elm grove,WI,2800000,,
elmore county sheriff's office,mountain home,ID,6113716,3171000,https://policescorecard.org/
elroy police department,elroy,WI,279000,,
elwood police department,elwood,KS,285000,,
emerald isle police department,emerald isle,NC,1940957,"2,100,197",https://www.emeraldisle-nc.org/ArchiveCenter/ViewFile/Item/59
eminence police department,eminence,MO,3405288,,
emmetsburg police department,emmetsburg,IA,640000,688000,https://policescorecard.org/
enchanted oaks police department,mabank,TX,7718376,,
england police department,england,AR,5547578,,
enigma police department,enigma,GA,5009264,,
enterprise police department,enterprise,MS,7948726,,
enterprise police department,enterprise,OR,6784533,,
ephrata police department,ephrata,PA,7507534,6950699,https://dced.pa.gov/local-government/municipal-statistics/
erath police department,erath,LA,628732,798833,https://app.lla.la.gov/publicreports.nsf/0/bf0fffed4ffbfdff862587b900572e64/$file/00025654.pdf
erie city police department,erie,PA,30569540,7381183,https://dced.pa.gov/local-government/municipal-statistics/
erie county sheriff's office,buffalo,NY,117335033,"32,202,915",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
erie police department,erie,KS,3726198,207000,https://policescorecard.org/
escambia county sheriff's office,pensacola,FL,79553713,61667000,https://policescorecard.org/
escondido police department,escondido,CA,45928260,47329761,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
essex county sheriff's office,newark,NJ,79502912,,
estelline police department,estelline,TX,1e+05,,
estes park police department,estes park,CO,5078364,5315000,https://policescorecard.org/
ethridge police department,ethridge,TN,4563649,,
eugene police department,eugene,OR,106249101,63660000,https://policescorecard.org/
euharlee police department,euharlee,GA,426951,,
eunice police department,eunice,LA,2480200,1556000,https://policescorecard.org/
eureka county sheriff's office,eureka,NV,3003000,3151000,https://policescorecard.org/
eustis police department,eustis,FL,5384323,,
evansdale police department,evansdale,IA,4907299,,
evanston police department,evanston,IL,38737094,38746000,https://policescorecard.org/
evansville police department,evansville,IN,33816076,29356000,https://policescorecard.org/
evarts police department,evarts,KY,160000,,
everett police department,everett,MA,96280381,14720000,https://policescorecard.org/
everett police department,everett,WA,91530786,37727000,https://policescorecard.org/
everman police department,everman,TX,10171256,"1,636,737",http://www.evermantx.us/Financial%20Reports/2022%20Adopted%20Budget%20Final.pdf
fair bluff police department,fair bluff,NC,5754235,"215,610",https://logos.nctreasurer.com/Reporting/Report/External?applicationCode=AFIR
fairfax county police department,fairfax,VA,220985727,279761000,https://policescorecard.org/
fairfax police department,fairfax,OK,4234366,,
fairfield bay police department,fairfield bay,AR,475000,,
fairfield county sheriff's office,lancaster,OH,13185687,17665000,https://policescorecard.org/
fairfield police department,fairfield,AL,10710009,2802000,https://policescorecard.org/
fairfield police department,fairfield,CA,42887273,51308336,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
fairfield police department,long hill (fairfield),CT,14850217,18504000,https://policescorecard.org/
fairfield police department,fairfield,IL,1523125,"1,520,451",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
fairfield police department,fairfield,TX,739183,"1,028,223",https://www.fairfieldtexas.com/sites/g/files/vyhlif5371/f/uploads/2021-22adoptedbudgetbook.pdf
fairfield township police department,hamilton,OH,3e+06,,
fairhaven township police department,bay port,MI,110000,789200,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
fairmont police department,fairmont,NC,696981,"951,934",https://logos.nctreasurer.com/Reporting/Report/External?applicationCode=AFIR
fairmount police department,fairmount,GA,7945254,,
fairmount police department,fairmount,IN,605800,,
fairview police department,fairview,TX,2384029,"2,512,437",https://fairviewtexas.org/pdf/AuditBudget/Proposed-for-Website-04.pdf
fall river county sheriff's office,hot springs,SD,6246734,,
fall river police department,fall river,MA,70176464,22579000,https://policescorecard.org/
falls city police department,falls,NE,9e+05,1014000,https://policescorecard.org/
falls township police department,fairless hills,PA,10113172,12737836,https://dced.pa.gov/local-government/municipal-statistics/
far hills police,far hills,NJ,1e+06,,
fargo police department,fargo,ND,21348525,23350000,https://policescorecard.org/
farmington city police department,farmington,UT,2541584,2318000,https://policescorecard.org/
farmington division of public safety and security,farmington,MI,4010777,0,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
farmington hills police department,farmington hills,MI,21700000,20640000,https://policescorecard.org/
farmington police department,hartford,CT,7e+06,7701000,https://policescorecard.org/
farmington police department,farmington,NM,18100000,17218000,https://policescorecard.org/
farmington police department,farmington,WV,3495929,,
faulk county sheriff's office,faulkton,SD,425200,304000,https://policescorecard.org/
fauquier county sheriff's office,warrenton,VA,21387708,18651000,https://policescorecard.org/
fayette county sheriff's office,fayetteville,GA,70043607,12772000,https://georgiadata.org/
fayette county sheriff's office,washington court house,OH,6892395,,
fayette police department,fayette,AL,850000,,
fayette police department,fayette,IA,335000,,
fayette police department,fayette,OH,357875,,
fayetteville police department,fayetteville,AR,14610196,16682538,https://www.fayetteville-ar.gov/ArchiveCenter/ViewFile/Item/2221
fayetteville police department,fayetteville,NC,5.6e+07,56500000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
federal way police department,federal way,WA,33362775,24483000,https://policescorecard.org/
fenton police department,fenton,LA,7058947,,
ferguson police department,ferguson,MO,4453288,4109000,https://policescorecard.org/
fife police department,fife,WA,7661612,6575000,https://policescorecard.org/
findlay police department,findlay,IL,1e+05,"71,026",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
fircrest police department,fircrest,WA,1608169,,
fishers police department,fishers,IN,16619322,16538000,https://policescorecard.org/
flagler county sheriff's office,bunnell,FL,33548250,20976000,https://policescorecard.org/
flagstaff police department,flagstaff,AZ,22451005,21331000,https://policescorecard.org/
flat rock police department,flat rock,MI,5869199,3223000,https://policescorecard.org/
flatonia police department,flatonia,TX,774906,"909,457",https://www.flatoniatx.gov/page/open/1507/0/2021-22_Annual_Budget.pdf
fleming county sheriff's office,flemingsburg,KY,6139325,,
flint police department,flint,MI,23380801,29659000,https://policescorecard.org/
flora police department,flora,IN,520000,503500,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
florence county sheriff's office,florence,SC,18504502,16615000,https://policescorecard.org/
florence police department,florence,AL,11450608,11570000,https://policescorecard.org/
florence police department,florence,CO,1617015,,
florence police department,florence,MS,1509675,1202000,https://policescorecard.org/
florence police department,florence,SC,9632640,8895000,https://policescorecard.org/
florida city police department,florida,FL,14577251,,
floyd county police department,rome,GA,5519715,6547705,https://georgiadata.org/
foard county sheriff's office,crowell,TX,1e+05,"160,869",https://www.foardcounty.texas.gov/upload/page/9968/docs/20212022%20Foard%20County%20Budget.pdf
fontana police department,fontana,CA,60908820,97126798,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
fontana police department,fontana-on-geneva lake,WI,950000,,
fordyce police department,fordyce,AR,6e+05,,
forest hill police department,forest hill,TX,12758979,,
forest park police department,forest park,GA,9644212,7652000,https://georgiadata.org/
forest park police department,forest park,IL,4938000,0,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
forks police department,forks,WA,789000,,
forks township police department,easton,PA,9458378,3707652,https://dced.pa.gov/local-government/municipal-statistics/
forsyth county sheriff's office,cumming,GA,47590754,49624000,https://georgiadata.org/
forsyth county sheriff's office,winston-salem,NC,59469255,33692000,https://policescorecard.org/
fort atkinson police department,fort atkinson,WI,2673074,,
fort bend county sheriff's office,richmond,TX,79093090,54536000,https://policescorecard.org/
fort collins police services,fort collins,CO,85118816,54986000,https://policescorecard.org/
fort dodge police department,fort dodge,IA,4200000,4986000,https://policescorecard.org/
fort lauderdale police department,fort lauderdale,FL,128073352,118976000,https://policescorecard.org/
fort loramie police department,fort loramie,OH,296339,,
fort morgan police department,fort morgan,CO,3766680,3503000,https://policescorecard.org/
fort myers police department,fort myers,FL,51698000,56721000,https://policescorecard.org/
fort pierce police department,fort pierce,FL,14396550,15853000,https://policescorecard.org/
fort smith police department,fort smith,AR,19896590,,
fort valley police department,fort valley,GA,11330885,2325000,https://georgiadata.org/
fort wayne police department,fort wayne,IN,61246739,58525000,https://policescorecard.org/
fort worth police department,fort worth,TX,150294649,282500000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
fortville police department,fortville,IN,208763,565622,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
fountain inn police department,fountain inn,SC,2351086,2281000,https://policescorecard.org/
fowler township police department,fowler,OH,96000,,
fox river grove police department,fox river grove,IL,1e+06,"2,358,927",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
foxboro police department,foxboro,MA,4615905,4670000,https://policescorecard.org/
framingham police department,framingham,MA,96492789,,
frankfort police department,frankfort,IL,7413100,"7,133,159",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
frankfort police department,frankfort,MI,345852,373710,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
franklin borough police,franklin borough,NJ,1800000,2034000,https://policescorecard.org/
franklin county sheriff's office,preston,ID,1750000,2116000,https://policescorecard.org/
franklin county sheriff's office,frankfort,KY,2845959,2111000,https://policescorecard.org/
franklin county sheriff's office,union,MO,54174165,9750000,https://policescorecard.org/
franklin county sheriff's office,franklin,NE,477540,,
franklin county sheriff's office,louisburg,NC,10424172,1559000,https://policescorecard.org/
franklin county sheriff's office,columbus,OH,152210268,177062000,https://policescorecard.org/
franklin county sheriff's office,st. albans,VT,12156880,,
franklin county sheriff's office,russellville,AL,13004049,5229000,https://policescorecard.org/
franklin parish sheriff's office,winnsboro,LA,60332389,,
franklin police department,franklin town,MA,5336655,5631000,https://policescorecard.org/
franklin police department,franklin,NH,3200000,3288000,https://policescorecard.org/
franklin police department,franklin,TN,17796210,16657000,https://policescorecard.org/
franklin township police,somerset,NJ,15310000,14467000,https://policescorecard.org/
franklin township police department,columbus,OH,42266501,,
franklinton police department,franklinton,LA,3051187,2861400,https://app.lla.la.gov/publicreports.nsf/0/35cfda30e6bcd4e8862589ff005b2a10/$file/0000245f.pdf
franklinton police department,franklinton,NC,988258,"759,103",https://cms9files.revize.com/franklincountync/Finance/Audits/Annual%20Comprehensive%20Financial%20Report%202021.pdf
franklinville village police department,franklinville,NY,170000,"189,846",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
fraser department of public safety,fraser,MI,7e+06,0,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
fraser winter park police department,winter park,CO,1544127,,
frederick city police,frederick,MD,33555209,34285000,https://policescorecard.org/
frederick county sheriff's office,frederick,MD,49557532,46029000,https://policescorecard.org/
frederick county sheriff's office,winchester,VA,15860951,17848000,https://policescorecard.org/
fredonia marshal's office,fredonia,AZ,355000,,
fredonia police department,fredonia,KS,3421821,,
freeburg police department,freeburg,IL,1338865,"1,249,040",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
freehold borough police department,freehold borough,NJ,4107620,,
freeland borough police department,freeland borough,PA,5218439,218294,https://dced.pa.gov/local-government/municipal-statistics/
freeport police department,freeport,TX,4636779,4528000,https://policescorecard.org/
freeport village police department,freeport,NY,20221119,"21,179,408",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
fremont police department,fremont,CA,93307865,101900000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
french settlement police department,french settlement,LA,222626,216793,https://app.lla.la.gov/publicreports.nsf/0/53809c89e3b005f78625887e00579add/$file/0002755c.pdf
fresno county sheriff's office,fresno,CA,243308215,276584177,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
fresno police department,fresno,CA,195181200,207000000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
friendship town police department,friendship,NY,3938301,"110,564",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
frisco city police department,frisco,AL,1e+05,,
frisco police department,frisco,TX,43677941,51300000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
frontenac police department,frontenac,MO,2767616,2422933,https://www.cityoffrontenac.org/egov/documents/1698953032_80256.pdf
fruita police department,fruita,CO,2134082,2268000,https://policescorecard.org/
fullerton police department,fullerton,CA,47794875,48784967,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
fulton county sheriff's office,lewistown,IL,3868165,3322000,https://policescorecard.org/
fulton police department,fulton,KY,6280250,,
furnas county sheriff's office,beaver,NE,5620031,644000,https://policescorecard.org/
gadsden police department,gadsden,AL,10065130,10945000,https://policescorecard.org/
gainesboro police department,gainesboro,TN,5008750,,
gainesville police department,gainesville,FL,35107907,43048000,https://policescorecard.org/
gainesville police department,gainesville,GA,8130395,10063602,https://georgiadata.org/
gainesville police department,gainesville,TX,15416390,5117000,https://policescorecard.org/
gallatin county sheriff's office,shawneetown,IL,150000,"137,674",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
gallatin county sheriff's office,warsaw,KY,7596872,455000,https://policescorecard.org/
galt police department,galt,CA,6297356,8586251,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
galva police department,galva,KS,86200,,
galveston county sheriff's office,galveston,TX,48590812,29506000,https://policescorecard.org/
galveston police department,galveston,TX,72909251,34205000,https://policescorecard.org/
ganado police department,ganado,TX,279513,,
garden grove police department,garden grove,CA,59303020,67355927,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
gardiner police department,gardiner,ME,1165305,1254000,https://policescorecard.org/
garfield county sheriff's office,glenwood springs,CO,20436816,13434000,https://policescorecard.org/
garfield county sheriff's office,jordan,MT,350000,363000,https://policescorecard.org/
garfield county sheriff's office,burwell,NE,175000,156000,https://policescorecard.org/
garfield county sheriff's office,enid,OK,1500000,,
garfield county sheriff's office,panguitch,UT,10613616,4532000,https://policescorecard.org/
garland police department,garland,TX,57800000,62300000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
garnavillo police department,garnavillo,IA,3370445,,
garrard county police department,lancaster,KY,541295,,
garrettsville police department,garrettsville,OH,672300,,
gary police department,gary,IN,12570992,,
gaston county police department,gastonia,NC,14500000,"87,116,000",https://logos.nctreasurer.com/Reporting/Report/External?applicationCode=AFIR
gastonia police department,gastonia,NC,19933078,19402000,https://policescorecard.org/
gates county sheriff's office,gatesville,NC,3222858,"1,027,355",https://gatescountync.gov/vertical/sites/%7BC4993D33-7F3A-4388-B179-2EC1739C7E2E%7D/uploads/Gates_COunty_Annual_Financial_Report_Year_Ended_June_30_2021.pdf
gatlinburg police department,gatlinburg,TN,3521500,3044000,https://policescorecard.org/
gaylord police department,gaylord,MI,3473540,1750000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
geistown borough police department,johnstown,PA,350178,256172,https://dced.pa.gov/local-government/municipal-statistics/
genesee county sheriff's office,flint,MI,32569709,3371000,https://policescorecard.org/
genesee county sheriff's office,batavia,NY,11245341,"110,564",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
geneva county sheriff's office,geneva,AL,1252500,,
geneva police department,geneva,OH,1484482,,
genoa city police department,genoa,WI,759108,,
gentry county sheriff's office,albany,MO,4518021,,
georgetown county sheriff's office,georgetown,SC,15168000,7939000,https://policescorecard.org/
georgetown police department,georgetown,KY,5800000,4104000,https://policescorecard.org/
german township police department,springfield,OH,18082471,,
germantown police department,germantown,TN,13903958,14531000,https://policescorecard.org/
geronimo police department,geronimo,OK,70000,,
gilbert police department,gilbert,AZ,59942830,61700000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
gilbert police department,gilbert,MN,1007000,,
gilberts police department,gilberts,IL,1250195,"1,683,322",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
giles county sheriff's office,pulaski,TN,8338339,,
gillett police department,gillett,AR,5322429,7668993,https://www.gillettewy.gov/city-government/departments/finance-department/finance-division
gilmer county sheriff's office,glenville,WV,125678,141000,https://policescorecard.org/
gladstone police department,gladstone,OR,2760078,"6,204,405",https://www.ci.gladstone.or.us/media/16351
gladwin county sheriff's office,gladwin,MI,3990473,1670000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
glascock county sheriff's department,gibson,GA,380000,,
gleason police department,gleason,TN,426000,,
glendale heights police department,glendale heights,IL,9122670,8702000,https://policescorecard.org/
glendale police department,glendale,AZ,91060979,103300000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
glendale police department,glendale,CA,94746978,92802314,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
glendora police department,glendora,MS,7776889,,
glenmora police department,glenmora,LA,293000,397552,https://app.lla.state.la.us/PublicReports.nsf/0/99B93D154A0C292486258A89007DA856/$FILE/0000373B.pdf
glennville police department,glennville,GA,8674406,932404,https://georgiadata.org/
glenolden borough police department,glenolden borough,PA,1544922,1723301,https://dced.pa.gov/local-government/municipal-statistics/
glenwood police department,glenwood,MN,3767237,,
gloucester county sheriff's office,woodbury,NJ,15101817,,
gloucester township police,blackwood,NJ,16231000,,
glynn county police department,brunswick,GA,61014871,14742445,https://georgiadata.org/
gold beach police department,gold beach,OR,8e+05,"755,200",https://www.goldbeachoregon.gov/vertical/sites/%7B95824C9A-6BB0-47B3-83E2-3D2AE3179E09%7D/uploads/FY2021_2022_ADOPTED_Budget.pdf
goodland police department,goodland,KS,598696,421000,https://policescorecard.org/
goodyear police department,goodyear,AZ,27412700,24628000,https://policescorecard.org/
goose creek police department,goose creek,SC,8046188,8244000,https://policescorecard.org/
gordon county sheriff's office,north calhoun,GA,10234159,7233000,https://georgiadata.org/
goreville police department,goreville,IL,140000,"154,471",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
goshen police department,goshen,IN,7223575,8912000,https://policescorecard.org/
goshen town police department,goshen,NY,1300000,"1,302,173",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
gothenburg police department,gothenburg,NE,5e+05,,
grady county sheriff's department,cairo,GA,1384029,2151100,https://georgiadata.org/
grafton police department,grafton,ND,935000,1086000,https://policescorecard.org/
grafton police department,grafton,WV,4e+05,,
graham police department,graham,TX,2225500,"1,994,513",https://www.cityofgrahamtexas.com/wp-content/uploads/2021/09/2020-2021_Annual_Budget.pdf
grambling police department,grambling,LA,602000,1398018,https://app.lla.la.gov/publicreports.nsf/0/a897b8c61374a3d88625893b006c80f0/$file/0000082a.pdf
grand blanc township police department,flint,MI,7527371,7721000,https://policescorecard.org/
grand junction police department,grand junction,CO,67278522,32919000,https://policescorecard.org/
grand prairie police department,grand prairie,TX,57779900,64151000,https://policescorecard.org/
grand rapids police department,grand rapids,MI,56200108,54908000,https://policescorecard.org/
grand saline police department,grand saline,TX,581726,,
grandview police department,grandview,TX,6652119,,
grandview police department,grandview,WA,2500000,,
granger police department,granger,IA,148938,,
granite county sheriff's office,philipsburg,MT,812384,,
grant county sheriff's office,milbank,SD,4709319,569000,https://policescorecard.org/
grant parish sheriff's office,colfax,LA,8725597,8003670,https://app.lla.la.gov/publicreports.nsf/0/40049143aca1a4418625893c006c2dd8/$file/0000084e.pdf
granville police department,granville,OH,1800000,,
granville township police department,lewistown,PA,9e+05,1082040,https://dced.pa.gov/local-government/municipal-statistics/
gray county sheriff's department,cimarron,KS,1e+06,1110000,https://policescorecard.org/
grayling police department,grayling,MI,540663,735000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
grayson police department,grayson,KY,5755439,,
greece town police department,rochester,NY,17403331,"12,576,889",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
greeley county sheriff's office,tribune,KS,370000,,
greeley police department,greeley,CO,29005474,27776000,https://policescorecard.org/
green bay police department,green bay,WI,26393441,,
green cove springs police department,green cove springs,FL,3900000,3125000,https://policescorecard.org/
green mountain falls marshal's office,green mountain falls,CO,76900,,
green township police department,cincinnati,OH,21182450,,
greenburgh town police department,white plains,NY,"29,521","22,053,839",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
greencastle borough police department,greencastle borough,PA,814454,766245,https://dced.pa.gov/local-government/municipal-statistics/
greendale police department,greendale,IN,1796903,1303000,https://policescorecard.org/
greene county sheriff's office,jefferson,IA,1250000,1771000,https://policescorecard.org/
greene county sheriff's office,springfield,MO,27855118,7174000,https://policescorecard.org/
greene county sheriff's office,catskill,NY,13738985,"4,304,445",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
greene county sheriff's office,xenia,OH,17936015,17752000,https://policescorecard.org/
greene county sheriff's office,stanardsville,VA,3152716,2882000,https://policescorecard.org/
greenfield police department,greenfield,CA,10590429,6450790,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
greenfield police department,greenfield,MO,227000,,
greenfield police department,greenfield,OH,4338909,,
greenfield police department,greenfield,TN,452650,,
greenfield police department,greenfield,WI,9855414,,
greenfield township police department,claysburg,PA,3e+05,275233,https://dced.pa.gov/local-government/municipal-statistics/
greensboro police department,greensboro,GA,8440525,1414839,https://georgiadata.org/
greensboro police department,greensboro,NC,78902453,83700000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
greensburg police department,greensburg,LA,325000,,
greentown police department,greentown,IN,180000,46236,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
greenville county sheriff's office,greenville,SC,51784088,74211000,https://policescorecard.org/
greenville police department,greenville,GA,425500,,
greenville police department,greenville,KY,802438,,
greenville police department,greenville,NC,24501924,24714000,https://policescorecard.org/
greenville police department,greenville borough,PA,923484,606528,https://dced.pa.gov/local-government/municipal-statistics/
greenville police department,greenville,SC,27150611,26324000,https://policescorecard.org/
greenwich police department,greenwich,CT,21938643,21584000,https://policescorecard.org/
greenwood county sheriff's department,eureka,KS,1700000,,
greenwood police department,greenwood,WI,250000,,
greenwood police department,greenwood,LA,985400,10133000,https://policescorecard.org/
greer police department,greer,SC,7896017,9014000,https://policescorecard.org/
gregg county sheriff's office,longview,TX,66798213,1208000,https://policescorecard.org/
gresham police department,gresham,OR,41684130,28735000,https://policescorecard.org/
gretna police department,gretna,LA,9600000,9932885,https://www.gretnala.com/wp-content/uploads/2021/03/GRETNA-BUDGET-FY-21-22-Website.pdf
griffin police department,griffin,GA,8560900,7800000,https://policescorecard.org/
grimes county sheriff's office,anderson,TX,2e+06,,
grosse pointe farms division of public safety and security,grosse pointe farms,MI,4550000,4690000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
groton city police department,groton,CT,5289625,8508000,https://policescorecard.org/
grottoes police department,grottoes,VA,608826,,
