assistance_transaction_unique_key,assistance_award_unique_key,award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation,total_obligated_amount,total_outlayed_amount_for_overall_award,indirect_cost_federal_share_amount,non_federal_funding_amount,total_non_federal_funding_amount,face_value_of_loan,original_loan_subsidy_cost,total_face_value_of_loan,total_loan_subsidy_cost,generated_pragmatic_obligations,disaster_emergency_fund_codes_for_overall_award,outlayed_amount_from_COVID-19_supplementals_for_overall_award,obligated_amount_from_COVID-19_supplementals_for_overall_award,outlayed_amount_from_IIJA_supplemental_for_overall_award,obligated_amount_from_IIJA_supplemental_for_overall_award,action_date,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,treasury_accounts_funding_this_award,federal_accounts_funding_this_award,object_classes_funding_this_award,program_activities_funding_this_award,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,prime_award_transaction_recipient_county_fips_code,recipient_county_name,prime_award_transaction_recipient_state_fips_code,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,prime_award_transaction_recipient_cd_original,prime_award_transaction_recipient_cd_current,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_scope,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,prime_award_transaction_place_of_performance_county_fips_code,primary_place_of_performance_county_name,prime_award_transaction_place_of_performance_state_fips_code,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,prime_award_transaction_place_of_performance_cd_original,prime_award_transaction_place_of_performance_cd_current,primary_place_of_performance_foreign_location,cfda_number,cfda_title,funding_opportunity_number,funding_opportunity_goals_text,assistance_type_code,assistance_type_description,transaction_description,prime_award_base_transaction_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,highly_compensated_officer_1_name,highly_compensated_officer_1_amount,highly_compensated_officer_2_name,highly_compensated_officer_2_amount,highly_compensated_officer_3_name,highly_compensated_officer_3_amount,highly_compensated_officer_4_name,highly_compensated_officer_4_amount,highly_compensated_officer_5_name,highly_compensated_officer_5_amount,usaspending_permalink,initial_report_date,last_modified_date
1550_2012VAGX0051_FY2012-2012VAGX0051-00-NON_16.575_00,ASST_NON_2012VAGX0051_1550,2012VAGX0051,00,FY2012-2012VAGX0051-00-NON,SAI NOT AVAILABLE,5609030.00,5609030.00,,,0.00,0.00,0.00,0.00,0.00,0.00,5609030.00,,,,,,2012-07-27,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,SUMELGB1JAS1,134720015,LOUISIANA COMMISSION ON LAW ENFORCEMENT AND ADMINISTRATION OF CRIMINAL JUSTICE,LOUISIANA COMMISSION ON LAW ENFORCEMENT,CSXVULAQNJ55,061238911,"LOUISIANA, STATE OF","LOUISIANA, STATE OF",USA,UNITED STATES,PO BOX 3133,"602 N. 5TH ST., 1ST FLOOR",05000,BATON ROUGE,22033,EAST BATON ROUGE,22,LA,LOUISIANA,70821,3133,LA-06,LA-06,,,,SINGLE ZIP CODE,USA,UNITED STATES,2205000,BATON ROUGE,22033,EAST BATON ROUGE,22,LOUISIANA,708213133,LA-06,LA-06,,16.575,CRIME VICTIM ASSISTANCE,,,04,,FY 2012 VOCA VICTIM ASSISTANCE GRANT,FY 2012 VOCA VICTIM ASSISTANCE GRANT,NON,,A,STATE GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012VAGX0051_1550/,2017-09-17,2012-09-12
1550_2012VAGX0035_FY2012-2012VAGX0035-00-NON_16.575_00,ASST_NON_2012VAGX0035_1550,2012VAGX0035,00,FY2012-2012VAGX0035-00-NON-00,SAI NOT AVAILABLE,11461311.00,11460912.14,,,0.00,0.00,0.00,0.00,0.00,0.00,11461311.00,,,,,,2012-07-27,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,015-X-5041-000,015-5041,"41.0: Grants, subsidies, and contributions",0001: CRIME VICTIMS GRANTS AND ASSISTANCE,XDBNQVHXHJK7,089618057,CRIMINAL JUSTICE COORDINATING COUNCIL,CRIMINAL JUSTICE COORDINATING COUNCIL,CTCMTRLMYMS9,069230183,STATE OF GEORGIA,"GEORGIA, STATE OF",USA,UNITED STATES,104 MARIETTA ST. SUITE 440,,50064,"MARTIN LUTHER KING, J",13121,FULTON,13,GA,GEORGIA,30303,2743,GA-05,GA-05,,,,SINGLE ZIP CODE,USA,UNITED STATES,1350064,ATLANTA,13121,FULTON,13,GEORGIA,303032743,GA-05,GA-05,,16.575,CRIME VICTIM ASSISTANCE,,,04,,OVC FY 12 VOCA VICTIM ASSISTANCE FORMULA,OVC FY 12 VOCA VICTIM ASSISTANCE FORMULA,NON,,A,STATE GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012VAGX0035_1550/,2017-09-17,2012-09-12
1550_2012DJBX0662_FY2012-2012DJBX0662-00-NON_16.738_00,ASST_NON_2012DJBX0662_1550,2012DJBX0662,00,FY2012-2012DJBX0662-00-NON,SAI NOT AVAILABLE,80980.00,80980.00,,,0.00,0.00,0.00,0.00,0.00,0.00,80980.00,,,,,,2012-07-27,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,Q7GMNFJ36BZ3,075090779,CITY OF WACO,CITY OF WACO,Q7GMNFJ36BZ3,075090779,CITY OF WACO,"WACO, CITY OF",USA,UNITED STATES,P.O. BOX 2570,,76000,WACO,48309,MCLENNAN,48,TX,TEXAS,76702,2570,TX-17,TX-17,,,,SINGLE ZIP CODE,USA,UNITED STATES,4876000,WACO,48309,MCLENNAN,48,TEXAS,767022570,TX-17,TX-17,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,"WACO CITY, BELLMEAD CITY & MCLENNAN COUNTY FY 2012 JAG PROJECT","WACO CITY, BELLMEAD CITY & MCLENNAN COUNTY FY 2012 JAG PROJECT",NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0662_1550/,2017-09-17,2012-09-12
1550_2012VAGX0053_FY2012-2012VAGX0053-00-NON_16.575_00,ASST_NON_2012VAGX0053_1550,2012VAGX0053,00,FY2012-2012VAGX0053-00-NON,SAI NOT AVAILABLE,8127567.00,8127567.00,,,0.00,0.00,0.00,0.00,0.00,0.00,8127567.00,,,,,,2012-07-27,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,K5CXYFV3DJA5,808882302,"COMMERCE, WASHINGTON STATE DEPARTMENT OF",WASHINGTON DEPARTMENT OF COMMERCE,V347L2VWH347,079248936,WASHINGTON STATE DEPT OF SOCIAL AND HEALTH SE,,USA,UNITED STATES,1011 PLUM STREET SE,PO BOX 42525,36500,OLYMPIA,53067,THURSTON,53,WA,WASHINGTON,98504,2525,WA-03,WA-10,,,,SINGLE ZIP CODE,USA,UNITED STATES,5336500,OLYMPIA,53067,THURSTON,53,WASHINGTON,985042525,WA-03,WA-10,,16.575,CRIME VICTIM ASSISTANCE,,,04,,OVC FY 12 VOCA VICTIM ASSISTANCE FORMULA,OVC FY 12 VOCA VICTIM ASSISTANCE FORMULA,NON,,A,STATE GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012VAGX0053_1550/,2017-09-17,2012-09-12
1550_2012DJBX0774_FY2012-2012DJBX0774-00-NON_16.738_00,ASST_NON_2012DJBX0774_1550,2012DJBX0774,00,FY2012-2012DJBX0774-00-NON,SAI NOT AVAILABLE,308023.00,308023.00,,,0.00,0.00,0.00,0.00,0.00,0.00,308023.00,,,,,,2012-07-26,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,XNQ3GAYDCFY4,101225787,HUDSON COUNTY BOARD-FREEHOLDER,COUNTY OF HUDSON,XNQ3GAYDCFY4,101225787,HUDSON COUNTY BOARD-FREEHOLDER,COUNTY OF HUDSON,USA,UNITED STATES,567 PAVONIA AVENUE,,36270,JOURNAL SQUARE,34017,HUDSON,34,NJ,NEW JERSEY,07306,2301,NJ-09,NJ-08,,,,SINGLE ZIP CODE,USA,UNITED STATES,3436270,JERSEY CITY,34017,HUDSON,34,NEW JERSEY,073062301,NJ-09,NJ-08,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,HUDSON COUNTY FY 2012 JAG PROGRAM,HUDSON COUNTY FY 2012 JAG PROGRAM,NON,,B,COUNTY GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0774_1550/,2017-09-17,2012-09-12
1550_2012DJBX0755_FY2012-2012DJBX0755-00-NON_16.738_00,ASST_NON_2012DJBX0755_1550,2012DJBX0755,00,FY2012-2012DJBX0755-00-NON,SAI NOT AVAILABLE,96249.00,96249.00,,,0.00,0.00,0.00,0.00,0.00,0.00,96249.00,,,,,,2012-07-26,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,HSGMSX1H9PC7,111312674,CITY OF NEW BRUNSWICK,CITY OF NEW BRUNSWICK,YDMHKF5XE7V6,091393462,CITY OF NEW BRUNSWICK,,USA,UNITED STATES,25 KIRKPATRICK STREET,,51210,NEW BRUNSWICK,34023,MIDDLESEX,34,NJ,NEW JERSEY,08901,1968,NJ-06,NJ-06,,,,SINGLE ZIP CODE,USA,UNITED STATES,3451210,NEW BRUNSWICK,34023,MIDDLESEX,34,NEW JERSEY,089011968,NJ-06,NJ-06,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,LAW ENFORCEMENT AND COMMUNITY POLICING ENHANCEMENT PROJECT,LAW ENFORCEMENT AND COMMUNITY POLICING ENHANCEMENT PROJECT,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0755_1550/,2017-09-17,2012-09-12
1550_2012DJBX0145_FY2012-2012DJBX0145-00-NON_16.738_00,ASST_NON_2012DJBX0145_1550,2012DJBX0145,00,FY2012-2012DJBX0145-00-NON,SAI NOT AVAILABLE,427614.00,427614.00,,,0.00,0.00,0.00,0.00,0.00,0.00,427614.00,,,,,,2012-07-26,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,MALYJ97YANE5,043325158,CITY OF CINCINNATI,CITY OF CINCINNATI,MALYJ97YANE5,043325158,CITY OF CINCINNATI,CITY OF CINCINNATI,USA,UNITED STATES,310 EZZARD CHARLES DR.,,21630,DELTA QUEEN,39061,HAMILTON,39,OH,OHIO,45202,2805,OH-01,OH-01,,,,SINGLE ZIP CODE,USA,UNITED STATES,3921630,CINCINNATI,39061,HAMILTON,39,OHIO,452022805,OH-01,OH-01,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,FISCAL YEAR 2012 JAG,FISCAL YEAR 2012 JAG,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0145_1550/,2017-09-17,2012-09-12
1550_2012DJBX0146_FY2012-2012DJBX0146-00-NON_16.738_00,ASST_NON_2012DJBX0146_1550,2012DJBX0146,00,FY2012-2012DJBX0146-00-NON,SAI NOT AVAILABLE,625302.00,625302.00,,,0.00,0.00,0.00,0.00,0.00,0.00,625302.00,,,,,,2012-07-26,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,YR5DREGHLCY7,074303483,CITY OF CLEVELAND,CITY OF CLEVELAND,PTV3L9YMEHY6,076755081,CITY OF CLEVELAND,,USA,UNITED STATES,601 LAKESIDE AVENUE,,16000,CLEVELAND,39035,CUYAHOGA,39,OH,OHIO,44114,1015,OH-11,OH-11,,,,SINGLE ZIP CODE,USA,UNITED STATES,3916000,CLEVELAND,39035,CUYAHOGA,39,OHIO,441141015,OH-11,OH-11,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,GREATER CLEVELAND AREA JAG,GREATER CLEVELAND AREA JAG,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0146_1550/,2017-09-17,2012-09-12
1550_2012DJBX0581_FY2012-2012DJBX0581-00-NON_16.738_00,ASST_NON_2012DJBX0581_1550,2012DJBX0581,00,FY2012-2012DJBX0581-00-NON,SAI NOT AVAILABLE,56098.00,56098.00,,,0.00,0.00,0.00,0.00,0.00,0.00,56098.00,,,,,,2012-07-26,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,SNT9VWCK7QQ5,012981593,COUNTY OF ORANGE,COUNTY OF ORANGE,SNT9VWCK7QQ5,012981593,COUNTY OF ORANGE,COUNTY OF ORANGE,USA,UNITED STATES,255 MAIN ST.,,29542,GOSHEN,36071,ORANGE,36,NY,NEW YORK,10924,1619,NY-19,NY-18,,,,SINGLE ZIP CODE,USA,UNITED STATES,3629542,GOSHEN,36071,ORANGE,36,NEW YORK,109241619,NY-19,NY-18,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,ORANGE COUNTY LAW ENFORCEMENT INITIATIVE 2012,ORANGE COUNTY LAW ENFORCEMENT INITIATIVE 2012,NON,,B,COUNTY GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0581_1550/,2017-09-17,2012-09-12
1550_2012DJBX0946_FY2012-2012DJBX0946-00-NON_16.738_00,ASST_NON_2012DJBX0946_1550,2012DJBX0946,00,FY2012-2012DJBX0946-00-NON,SAI NOT AVAILABLE,14615.00,14615.00,,,0.00,0.00,0.00,0.00,0.00,0.00,14615.00,,,,,,2012-07-26,2012,2011-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,C9GPPNTQFDM4,072698293,VILLAGE OF SPRING VALLEY,VILLAGE OF SPRING VALLEY,C9GPPNTQFDM4,072698293,VILLAGE OF SPRING VALLEY,"SPRING VALLEY, VILLAGE OF (INC)",USA,UNITED STATES,200 NORTH MAIN STREET,,70420,SPRING VALLEY,36087,ROCKLAND,36,NY,NEW YORK,10977,4150,NY-17,NY-17,,,,SINGLE ZIP CODE,USA,UNITED STATES,3670420,SPRING VALLEY,36087,ROCKLAND,36,NEW YORK,109774150,NY-17,NY-17,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,FY 2012 JUSTICE ASSISTANCE GRANT PROGRAM,FY 2012 JUSTICE ASSISTANCE GRANT PROGRAM,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0946_1550/,2017-09-17,2012-09-12
1550_2012DJBX0674_FY2012-2012DJBX0674-00-NON_16.738_00,ASST_NON_2012DJBX0674_1550,2012DJBX0674,00,FY2012-2012DJBX0674-00-NON,SAI NOT AVAILABLE,58418.00,58418.00,,,0.00,0.00,0.00,0.00,0.00,0.00,58418.00,,,,,,2012-07-26,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,F94ZFB3KUAP8,784723231,"PLANO, CITY OF",CITY OF PLANO,HUEQNTT7HE67,074853573,CITY OF PLANO,"PLANO, CITY OF",USA,UNITED STATES,P.O. BOX 860358,1520 AVENUE K,67460,SHEPTON,48085,COLLIN,48,TX,TEXAS,75074,6232,TX-03,TX-32,,,,SINGLE ZIP CODE,USA,UNITED STATES,4867460,PLANO,48085,COLLIN,48,TEXAS,750746232,TX-03,TX-32,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,"PLANO CITY, MCKINNEY CITY & COLLIN COUNTY FY 2012 JAG PROJECT","PLANO CITY, MCKINNEY CITY & COLLIN COUNTY FY 2012 JAG PROJECT",NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0674_1550/,2017-09-17,2012-09-12
1550_2012DJBX0658_FY2012-2012DJBX0658-00-NON_16.738_00,ASST_NON_2012DJBX0658_1550,2012DJBX0658,00,FY2012-2012DJBX0658-00-NON,SAI NOT AVAILABLE,4130203.00,4130203.00,,,0.00,0.00,0.00,0.00,0.00,0.00,4130203.00,,,,,,2012-07-26,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,MAFYNVUAL479,140135505,MAYORS OFFICE OF THE CRIMINAL JUSTI,NEW YORK CITY,FPJVFG5SNT71,073299026,CITY OF NEW YORK,,USA,UNITED STATES,CRIMINAL JUSTICE COORDINATORS OFFIC,"1 CENTRE ST., ROOM 1012",15616,CHURCH STREET,36061,NEW YORK,36,NY,NEW YORK,10007,1604,NY-08,NY-10,,,,SINGLE ZIP CODE,USA,UNITED STATES,3615616,NEW YORK,36061,NEW YORK,36,NEW YORK,100071604,NY-08,NY-10,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,FY12 JUSTICE ASSISTANCE GRANT,FY12 JUSTICE ASSISTANCE GRANT,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0658_1550/,2017-09-17,2012-09-12
1550_2012DJBX0681_FY2012-2012DJBX0681-00-NON_16.738_00,ASST_NON_2012DJBX0681_1550,2012DJBX0681,00,FY2012-2012DJBX0681-00-NON,SAI NOT AVAILABLE,81566.00,81566.00,,,0.00,0.00,0.00,0.00,0.00,0.00,81566.00,,,,,,2012-07-26,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,KGESQB8J95E1,073739955,"VINELAND, CITY OF",CITY OF VINELAND,KGESQB8J95E1,073739955,"VINELAND, CITY OF","VINELAND, CITY OF",USA,UNITED STATES,640 E. WOOD STREET,P.O. BOX 1508,76070,VINELAND,34011,CUMBERLAND,34,NJ,NEW JERSEY,08362,1508,NJ-02,NJ-02,,,,SINGLE ZIP CODE,USA,UNITED STATES,3476070,VINELAND,34011,CUMBERLAND,34,NEW JERSEY,083621508,NJ-02,NJ-02,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,"VINELAND CITY, BRIDGETON CITY, MILLVILLE CITY & CUMBERLAND COUNTY FY 2012 JAG PROJECT","VINELAND CITY, BRIDGETON CITY, MILLVILLE CITY & CUMBERLAND COUNTY FY 2012 JAG PROJECT",NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0681_1550/,2017-09-17,2012-09-12
1550_2012DJBX0773_FY2012-2012DJBX0773-00-NON_16.738_00,ASST_NON_2012DJBX0773_1550,2012DJBX0773,00,FY2012-2012DJBX0773-00-NON,SAI NOT AVAILABLE,217820.00,217820.00,,,0.00,0.00,0.00,0.00,0.00,0.00,217820.00,,,,,,2012-07-26,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,VHTGDARWN6Y7,086217044,"UNION, COUNTY OF",COUNTY OF UNION,UYBYDSX1EYA5,077552842,"UNION, COUNTY OF","UNION, COUNTY OF",USA,UNITED STATES,300 NORTH AVENUE EAST,,79040,WESTFIELD,34039,UNION,34,NJ,NEW JERSEY,07090,1426,NJ-07,NJ-07,,,,SINGLE ZIP CODE,USA,UNITED STATES,3479040,WESTFIELD,34039,UNION,34,NEW JERSEY,070901426,NJ-07,NJ-07,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,UNION COUNTY FY 2012 JAG PROGRAM,UNION COUNTY FY 2012 JAG PROGRAM,NON,,B,COUNTY GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0773_1550/,2017-09-17,2012-09-12
1550_2012DJBX0024_FY2012-2012DJBX0024-00-NON_16.738_00,ASST_NON_2012DJBX0024_1550,2012DJBX0024,00,FY2012-2012DJBX0024-00-NON,SAI NOT AVAILABLE,78738.00,78738.00,,,0.00,0.00,0.00,0.00,0.00,0.00,78738.00,,,,,,2012-07-26,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,TF1MTFVU7MF4,079800751,COUNTY OF STARK,STARK COUNTY,TF1MTFVU7MF4,079800751,COUNTY OF STARK,"STARK, COUNTY OF",USA,UNITED STATES,110 CENTRAL PLAZA SOUTH,SUITE 240,12000,CANTON,39151,STARK,39,OH,OHIO,44702,1410,OH-16,OH-13,,,,SINGLE ZIP CODE,USA,UNITED STATES,3912000,CANTON,39151,STARK,39,OHIO,447021410,OH-16,OH-13,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,FISCAL YEAR 2012 JAG,FISCAL YEAR 2012 JAG,NON,,B,COUNTY GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0024_1550/,2017-09-17,2012-09-12
1550_2012DJBX0570_FY2012-2012DJBX0570-00-NON_16.738_00,ASST_NON_2012DJBX0570_1550,2012DJBX0570,00,FY2012-2012DJBX0570-00-NON,SAI NOT AVAILABLE,51341.00,51341.00,,,641.00,641.00,0.00,0.00,0.00,0.00,51341.00,,,,,,2012-07-26,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,GCHVRZPNFK82,079935268,CITY OF NIAGARA FALLS NY,CITY OF NIAGARA FALLS,GCHVRZPNFK82,079935268,CITY OF NIAGARA FALLS NY,"NIAGARA FALLS, CITY OF",USA,UNITED STATES,745 MAIN STREET,520 HYDE PARK BLVD.,51055,NIAGARA FALLS,36063,NIAGARA,36,NY,NEW YORK,14301,0000,NY-28,NY-26,,,,SINGLE ZIP CODE,USA,UNITED STATES,3651055,NIAGARA FALLS,36063,NIAGARA,36,NEW YORK,143010000,NY-28,NY-26,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,POLICE LIAISON AND CRIMINAL INVESTIGATOR PROGRAM,POLICE LIAISON AND CRIMINAL INVESTIGATOR PROGRAM,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0570_1550/,2017-09-17,2012-09-12
1550_2012DJBX0226_FY2012-2012DJBX0226-00-NON_16.738_00,ASST_NON_2012DJBX0226_1550,2012DJBX0226,00,FY2012-2012DJBX0226-00-NON,SAI NOT AVAILABLE,14875.00,14875.00,,,0.00,0.00,0.00,0.00,0.00,0.00,14875.00,,,,,,2012-07-26,2012,2011-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,K5XCUGUN5AL7,022364249,CITY OF JAMESTOWN,JAMESTOWN CITY,RVYLKHSZMG87,030224174,CITY OF JAMESTOWN,"JAMESTOWN, CITY OF",USA,UNITED STATES,200 EAST THIRD STREET,,38264,JAMESTOWN,36013,CHAUTAUQUA,36,NY,NEW YORK,14701,5426,NY-27,NY-23,,,,SINGLE ZIP CODE,USA,UNITED STATES,3638264,JAMESTOWN,36013,CHAUTAUQUA,36,NEW YORK,147015426,NY-27,NY-23,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,VEHICLE REPLACEMENT PROGRAM,VEHICLE REPLACEMENT PROGRAM,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0226_1550/,2017-09-17,2012-09-12
1550_2012DJBX0578_FY2012-2012DJBX0578-00-NON_16.738_00,ASST_NON_2012DJBX0578_1550,2012DJBX0578,00,FY2012-2012DJBX0578-00-NON,SAI NOT AVAILABLE,17584.00,17584.00,,,0.00,0.00,0.00,0.00,0.00,0.00,17584.00,,,,,,2012-07-26,2012,2011-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,V4AJJ46WHPL7,064724958,INCORPORATED VILLAGE OF FREEPORT,VILLAGE OF FREEPORT,V4AJJ46WHPL7,064724958,INCORPORATED VILLAGE OF FREEPORT,"FREEPORT, INCORPORATED VILLAGE OF",USA,UNITED STATES,46 N OCEAN AVE,,27485,FREEPORT,36059,NASSAU,36,NY,NEW YORK,11520,3036,NY-03,NY-04,,,,SINGLE ZIP CODE,USA,UNITED STATES,3627485,FREEPORT,36059,NASSAU,36,NEW YORK,115203036,NY-03,NY-04,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,QUALITY OF LIFE IMPROVEMENT PROGRAM,QUALITY OF LIFE IMPROVEMENT PROGRAM,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0578_1550/,2017-09-17,2012-09-12
1550_2011UMWX0179_FY2013-2011UMWX0179-01-NON_16.710_01,ASST_NON_2011UMWX0179_1550,2011UMWX0179,01,FY2013-2011UMWX0179-01-NON,SAI NOT AVAILABLE,-143936.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,-143936.00,,,,,,2012-07-26,2012,2011-09-01,2014-08-31,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,ZMD5AVGQVHG6,968102827,"WALLER, COUNTY OF",WALLER COUNTY CONSTABLE PRECINCT 2,,,,,USA,UNITED STATES,27388 FIELDSTORE ROAD,,82672,WALLER,48473,WALLER,48,TX,TEXAS,77484,,TX-10,TX-10,,,,SINGLE ZIP CODE,USA,UNITED STATES,4882672,WALLER,48473,WALLER,48,TX,77484,TX-10,TX-10,,16.710,PUBLIC SAFETY PARTNERSHIP AND COMMUNITY POLICING GRANTS,,,04,,CHP,CHP,NON,,X,OTHER,,,C,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2011UMWX0179_1550/,2017-09-17,2013-02-25
